,yyyymmdd,traceid,count
472,19960118,MV.MGAT.--.SHZ,11
473,19960118,MV.MCPE.--.SHX,0
474,19960118,MV.MGT2.--.SHZ,0
475,19960118,MV.MHRE.--.SHZ,0
476,19960118,MV.MSPT.--.SHZ,11
477,19960118,MV.MGHZ.--.SHZ,11
478,19960118,MV.MHRN.--.SHX,0
479,19960118,MV.MWHT.--.SHZ,11
480,19960118,MV.MVPN.--.SHY,11
481,19960118,MV.MWH2.--.SHZ,0
482,19960118,MV.MLGL.--.SHZ,11
483,19960118,MV.MCHT.--.SHZ,0
484,19960118,MV.MHRV.--.SHZ,0
485,19960118,MV.MHRE.--.SHX,0
486,19960119,MV.MCPZ.--.SHZ,0
487,19960119,MV.MVPV.--.SHZ,71
488,19960119,MV.MVPE.--.SHX,71
489,19960119,MV.MHRV.--.SHY,0
490,19960119,MV.MBET.--.SHZ,71
491,19960119,MV.MSSZ.--.SHZ,71
492,19960119,MV.MHRN.--.SHY,0
493,19960119,MV.MLGT.--.SHZ,71
494,19960119,MV.MRYT.--.SHZ,71
495,19960119,MV.MSSE.--.SHX,71
496,19960119,MV.MCPN.--.SHY,0
497,19960119,MV.MCPT.--.SHZ,0
498,19960119,MV.MSSN.--.SHY,71
499,19960119,MV.MGAT.--.SHZ,71
500,19960119,MV.MCPE.--.SHX,0
501,19960119,MV.MGT2.--.SHZ,0
502,19960119,MV.MHRE.--.SHZ,0
503,19960119,MV.MSPT.--.SHZ,71
504,19960119,MV.MGHZ.--.SHZ,71
505,19960119,MV.MHRN.--.SHX,0
506,19960119,MV.MWHT.--.SHZ,71
507,19960119,MV.MVPN.--.SHY,71
508,19960119,MV.MWH2.--.SHZ,0
509,19960119,MV.MLGL.--.SHZ,71
510,19960119,MV.MCHT.--.SHZ,0
511,19960119,MV.MHRV.--.SHZ,0
512,19960119,MV.MHRE.--.SHX,0
513,19960120,MV.MCPZ.--.SHZ,0
514,19960120,MV.MVPV.--.SHZ,75
515,19960120,MV.MVPE.--.SHX,75
516,19960120,MV.MHRV.--.SHY,0
517,19960120,MV.MBET.--.SHZ,75
518,19960120,MV.MSSZ.--.SHZ,75
519,19960120,MV.MHRN.--.SHY,0
520,19960120,MV.MLGT.--.SHZ,75
521,19960120,MV.MRYT.--.SHZ,74
522,19960120,MV.MSSE.--.SHX,75
523,19960120,MV.MCPN.--.SHY,0
524,19960120,MV.MCPT.--.SHZ,0
525,19960120,MV.MSSN.--.SHY,75
526,19960120,MV.MGAT.--.SHZ,75
527,19960120,MV.MCPE.--.SHX,0
528,19960120,MV.MGT2.--.SHZ,0
529,19960120,MV.MHRE.--.SHZ,0
530,19960120,MV.MSPT.--.SHZ,75
531,19960120,MV.MGHZ.--.SHZ,75
532,19960120,MV.MHRN.--.SHX,0
533,19960120,MV.MWHT.--.SHZ,75
534,19960120,MV.MVPN.--.SHY,75
535,19960120,MV.MWH2.--.SHZ,0
536,19960120,MV.MLGL.--.SHZ,75
537,19960120,MV.MCHT.--.SHZ,0
538,19960120,MV.MHRV.--.SHZ,0
539,19960120,MV.MHRE.--.SHX,0
540,19960121,MV.MCPZ.--.SHZ,0
541,19960121,MV.MVPV.--.SHZ,108
542,19960121,MV.MVPE.--.SHX,108
543,19960121,MV.MHRV.--.SHY,0
544,19960121,MV.MBET.--.SHZ,108
545,19960121,MV.MSSZ.--.SHZ,108
546,19960121,MV.MHRN.--.SHY,0
547,19960121,MV.MLGT.--.SHZ,108
548,19960121,MV.MRYT.--.SHZ,108
549,19960121,MV.MSSE.--.SHX,108
550,19960121,MV.MCPN.--.SHY,0
551,19960121,MV.MCPT.--.SHZ,0
552,19960121,MV.MSSN.--.SHY,108
553,19960121,MV.MGAT.--.SHZ,108
554,19960121,MV.MCPE.--.SHX,0
555,19960121,MV.MGT2.--.SHZ,0
556,19960121,MV.MHRE.--.SHZ,0
557,19960121,MV.MSPT.--.SHZ,108
558,19960121,MV.MGHZ.--.SHZ,108
559,19960121,MV.MHRN.--.SHX,0
560,19960121,MV.MWHT.--.SHZ,108
561,19960121,MV.MVPN.--.SHY,108
562,19960121,MV.MWH2.--.SHZ,0
563,19960121,MV.MLGL.--.SHZ,108
564,19960121,MV.MCHT.--.SHZ,0
565,19960121,MV.MHRV.--.SHZ,0
566,19960121,MV.MHRE.--.SHX,0
567,19960122,MV.MCPZ.--.SHZ,0
568,19960122,MV.MVPV.--.SHZ,88
569,19960122,MV.MVPE.--.SHX,88
570,19960122,MV.MHRV.--.SHY,0
571,19960122,MV.MBET.--.SHZ,88
572,19960122,MV.MSSZ.--.SHZ,88
573,19960122,MV.MHRN.--.SHY,0
574,19960122,MV.MLGT.--.SHZ,88
575,19960122,MV.MRYT.--.SHZ,88
576,19960122,MV.MSSE.--.SHX,88
577,19960122,MV.MCPN.--.SHY,0
578,19960122,MV.MCPT.--.SHZ,0
579,19960122,MV.MSSN.--.SHY,88
580,19960122,MV.MGAT.--.SHZ,88
581,19960122,MV.MCPE.--.SHX,0
582,19960122,MV.MGT2.--.SHZ,0
583,19960122,MV.MHRE.--.SHZ,0
584,19960122,MV.MSPT.--.SHZ,88
585,19960122,MV.MGHZ.--.SHZ,88
586,19960122,MV.MHRN.--.SHX,0
587,19960122,MV.MWHT.--.SHZ,88
588,19960122,MV.MVPN.--.SHY,88
589,19960122,MV.MWH2.--.SHZ,0
590,19960122,MV.MLGL.--.SHZ,88
591,19960122,MV.MCHT.--.SHZ,0
592,19960122,MV.MHRV.--.SHZ,0
593,19960122,MV.MHRE.--.SHX,0
594,19960123,MV.MCPZ.--.SHZ,0
595,19960123,MV.MVPV.--.SHZ,134
596,19960123,MV.MVPE.--.SHX,134
597,19960123,MV.MHRV.--.SHY,0
598,19960123,MV.MBET.--.SHZ,134
599,19960123,MV.MSSZ.--.SHZ,134
600,19960123,MV.MHRN.--.SHY,0
601,19960123,MV.MLGT.--.SHZ,134
602,19960123,MV.MRYT.--.SHZ,129
603,19960123,MV.MSSE.--.SHX,134
604,19960123,MV.MCPN.--.SHY,0
605,19960123,MV.MCPT.--.SHZ,0
606,19960123,MV.MSSN.--.SHY,134
607,19960123,MV.MGAT.--.SHZ,134
608,19960123,MV.MCPE.--.SHX,0
609,19960123,MV.MGT2.--.SHZ,0
610,19960123,MV.MHRE.--.SHZ,0
611,19960123,MV.MSPT.--.SHZ,134
612,19960123,MV.MGHZ.--.SHZ,134
