date	MRYT
19990816	0.13
19990817	0.06
19990818	0.19
19990819	0.10
19990820	0.51
19990821	0.61
19990822	0.47
19990823	0.99
19990824	0.94
19990825	0.28
19990826	0.43
19990827	0.71
19990828	0.25
19990829	0.12
19990830	0.21
19990831	0.18
19990901	0.07
19990902	0.03
19990903	0.14
19990904	0.22
19990905	0.03
19990906	0.08
19990907	0.33
19990908	0.19
19990909	0.17
19990910	0.61
19990911	0.34
19990912	0.36
19990913	0.11
19990914	0.34
19990915	0.54
19990916	1.00
19990917	1.00
19990918	1.00
19990919	0.25
19990920	0.10
19990921	0.06
19990922	0.08
19990923	0.10
19990924	0.30
19990925	0.29
19990926	0.00
19990927	0.06
19990928	0.14
19990929	0.00
19990930	0.08
19991001	0.15
19991002	0.29
19991003	0.66
19991004	0.78
19991005	0.22
19991006	0.03
19991007	0.09
19991008	0.24
19991009	0.39
19991010	0.07
19991011	0.07
19991012	0.14
19991013	0.25
19991014	0.09
19991015	0.12
19991016	0.19
19991017	0.09
19991018	0.35
19991019	0.85
19991020	0.94
19991021	0.42
19991022	0.81
19991023	0.97
19991024	0.99
19991025	0.65
19991026	0.43
19991027	0.69
19991028	0.73
19991029	0.54
19991030	0.42
19991031	0.72
19991101	0.22
19991102	0.54
19991103	0.19
19991104	0.67
19991105	0.86
19991106	0.97
19991107	0.98
19991108	0.83
19991109	0.36
19991110	0.67
19991111	0.81
19991112	0.43
19991113	0.47
19991114	0.17
19991115	0.10
19991116	0.14
19991117	0.26
19991118	0.19
19991119	0.57
19991120	0.90
19991121	1.00
19991122	0.74
19991123	0.73
19991124	0.33
19991125	0.22
19991126	0.19
19991127	0.31
19991128	0.74
19991129	0.58
19991130	0.74
19991201	0.24
19991202	0.81
19991203	0.45
19991204	0.44
19991205	0.75
19991206	0.68
19991207	0.85
19991208	0.42
19991209	0.33
19991210	0.19
19991211	0.26
19991212	0.53
19991213	0.76
19991214	0.44
19991215	0.44
19991216	0.42
19991217	0.47
19991218	0.62
19991219	0.89
19991220	0.85
19991221	0.80
19991222	0.90
19991223	0.97
19991224	0.96
19991225	0.99
19991226	0.99
19991227	0.99
19991228	0.99
19991229	0.95
19991230	0.91
19991231	0.96
20000101	0.99
20000102	0.98
20000103	0.94
20000104	0.92
20000105	0.99
20000106	0.99
20000107	1.00
20000108	1.00
20000109	0.98
20000110	0.99
20000111	0.99
20000112	0.98
20000113	0.94
20000114	0.92
20000115	0.83
20000116	0.57
20000117	0.93
20000118	0.88
20000119	0.57
20000120	0.33
20000121	0.38
20000122	0.47
20000123	0.85
20000124	0.99
20000125	0.99
20000126	0.99
20000127	0.99
20000128	1.00
20000129	0.99
20000130	0.98
20000131	0.94
20000201	0.98
20000202	0.96
20000203	0.93
20000204	0.93
20000205	0.93
20000206	0.87
20000207	0.82
20000208	0.87
20000209	0.99
20000210	1.00
20000211	1.00
20000212	1.00
20000213	1.00
20000214	1.00
20000215	1.00
20000216	1.00
20000217	0.99
20000218	0.99
20000219	0.99
20000220	1.00
20000221	1.00
20000222	0.99
20000223	1.00
20000224	0.98
20000225	0.98
20000226	0.72
20000227	0.83
20000228	0.71
20000229	0.99
20000301	0.95
20000302	0.46
20000303	0.58
20000304	0.60
20000305	0.66
20000306	0.56
20000307	0.58
20000308	0.48
20000309	0.40
20000310	0.54
20000311	0.88
20000312	0.98
20000313	0.87
20000314	0.96
20000315	0.88
20000316	0.94
20000317	0.45
20000318	1.00
20000319	0.90
20000320	0.59
20000321	0.86
20000322	0.56
20000323	0.25
20000324	0.31
20000325	0.42
20000326	0.19
20000327	0.28
20000328	0.61
20000329	0.97
20000330	0.85
20000331	0.83
20000401	0.85
20000402	0.78
20000403	0.68
20000404	0.77
20000405	0.99
20000406	1.00
20000407	0.46
20000408	0.00
20000409	0.00
20000410	0.00
20000411	0.00
20000412	0.00
20000413	0.00
20000414	0.35
20000415	0.96
20000416	0.98
20000417	0.97
20000418	1.00
20000419	1.00
20000420	0.87
20000421	0.60
20000422	0.75
20000423	0.82
20000424	0.87
20000425	0.95
20000426	0.49
20000427	1.00
20000428	0.95
20000429	0.95
20000430	0.94
20000501	0.96
20000502	0.99
20000503	0.99
20000504	0.95
20000505	0.89
